Rank,Movie Title,Year of Release,Run Time (minutes),Rating,Star Rating,Metascore,Number of Votes,Gross Revenue in millions (USD)
256,Barry Lyndon,1975,185,PG,8.1,89,176821,
257,Million Dollar Baby,2004,132,PG-13,8.1,86,707040,100.49
258,The Iron Giant,1999,86,PG,8.1,85,215611,23.16
259,"Paris, Texas",1984,145,R,8.1,81,113036,2.18
260,Stalker,1979,162,Not Rated,8.1,85,140293,0.23
261,Wild Tales,2014,122,R,8.1,77,209152,3.11
262,The Third Man,1949,93,Approved,8.1,97,177574,0.45
263,Network,1976,121,R,8.1,83,165587,
264,Ben-Hur,1959,212,G,8.1,90,247783,74.7
265,Cool Hand Luke,1967,127,GP,8.1,92,184479,16.22
266,Amores Perros,2000,154,R,8.1,83,248097,5.38
267,The Bridge on the River Kwai,1957,161,PG,8.1,87,228323,44.91
268,In the Name of the Father,1993,133,R,8.1,84,182388,25.01
269,Hachi: A Dog's Tale,2009,93,G,8.1,,300400,
270,A Silent Voice: The Movie,2016,130,Not Rated,8.1,78,93539,
271,Persona,1966,83,Not Rated,8.1,86,126424,
272,The Seventh Seal,1957,96,Not Rated,8.1,88,192895,
273,The Grapes of Wrath,1940,129,Passed,8.1,96,97546,0.06
274,On the Waterfront,1954,108,Approved,8.1,91,160577,9.6
275,Rebecca,1940,130,Approved,8.1,86,142829,4.36
276,Hotel Rwanda,2004,121,PG-13,8.1,79,365419,23.53
277,It Happened One Night,1934,105,Passed,8.1,87,108880,4.36
278,Tokyo Story,1953,136,Not Rated,8.1,100,65626,
279,OMG: Oh My God!,2012,125,Not Rated,8.1,,62732,0.92
280,Neon Genesis Evangelion: The End of Evangelion,1997,87,TV-MA,8.1,,60382,
281,Paper Moon,1973,102,PG,8.1,77,50686,30.93
282,The Best Years of Our Lives,1946,170,Approved,8.1,93,68286,23.65
283,The Celebration,1998,105,R,8.1,82,91242,1.65
284,PK,2014,153,Not Rated,8.1,,195523,10.62
285,The 400 Blows,1959,99,Not Rated,8.1,,124176,
286,Mary and Max,2009,92,Not Rated,8.1,,182943,
287,All Quiet on the Western Front,1930,152,Passed,8.1,91,66143,3.27
288,Three Colors: Red,1994,99,R,8.1,100,107539,4.04
